,Industry,Quarter,Cumulative time,Loop time
44,2030, 2019 q1,13631.611438,37.56207499999982
45,2030, 2019 q2,13666.704039,35.092601000000286
46,2030, 2019 q3,13702.296297,35.592258000000584
47,2030, 2019 q4,13736.827057,34.530759999999646
48,2030, 2020 q1,13778.777667,41.95060999999987
49,2030, 2020 q2,13813.759927,34.98225999999886
50,2510, 2018 q1,13841.971791,28.211864000000787
51,2510, 2018 q2,13872.078605,30.106814000000668
52,2510, 2018 q3,13900.057476,27.978870999999344
53,2510, 2018 q4,13927.513434,27.455958000000464
54,2510, 2019 q1,13955.379087,27.86565299999893
55,2510, 2019 q2,13987.495578,32.11649100000068
56,2510, 2019 q3,14014.548201,27.052622999999585
57,2510, 2019 q4,14043.376661,28.828460000000632
58,2510, 2020 q1,14071.950891,28.57423000000017
59,2510, 2020 q2,14099.112749,27.161857999999484
60,2520, 2018 q1,14142.206863,43.094113999999536
61,2520, 2018 q2,14189.828596,47.62173299999995
62,2520, 2018 q3,18877.641105,4687.812508999999
63,2520, 2018 q4,18918.346992,40.705887000000075
64,2520, 2019 q1,19530.802559,612.4555670000009
65,2520, 2019 q2,19565.113602,34.31104300000152
66,2520, 2019 q3,19605.299885,40.186282999999094
67,2520, 2019 q4,19646.808033,41.5081480000008
68,2520, 2020 q1,24163.397753,4516.58972
69,2520, 2020 q2,24207.20486,43.80710700000054
70,2530, 2018 q1,24812.545985,605.341124999999
71,2530, 2018 q2,29336.451371,4523.9053859999985
72,2530, 2018 q3,29377.836413,41.385042000001704
73,2530, 2018 q4,29421.012725,43.1763119999996
74,2530, 2019 q1,29466.755065,45.742340000000695
75,2530, 2019 q2,33945.775565,4479.020500000002
76,2530, 2019 q3,34552.186085,606.4105199999976
77,2530, 2019 q4,39023.794486,4471.608400999998
78,2530, 2020 q1,43803.389455,4779.594968999998
79,2530, 2020 q2,43869.19829,65.80883500000346
80,2550, 2018 q1,45256.641686,1387.4433960000024
81,2550, 2018 q2,46593.809144,1337.1674579999963
82,2550, 2018 q3,51792.329169,5198.520024999998
83,2550, 2018 q4,52496.779157,704.4499880000003
84,2550, 2019 q1,53261.858212,765.079055000002
85,2550, 2019 q2,54042.078734,780.2205220000033
86,2550, 2019 q3,54648.436428,606.3576939999984
87,2550, 2019 q4,64725.314698,10076.878270000001
88,2550, 2020 q1,66086.188282,1360.8735840000008
89,2550, 2020 q2,66783.46967,697.2813880000031
90,3010, 2018 q1,66813.608255,30.138584999993327
91,3010, 2018 q2,66841.114462,27.50620699999854
92,3010, 2018 q3,66869.098145,27.983682999998564
93,3010, 2018 q4,66901.270139,32.171994000003906
94,3010, 2019 q1,66928.428512,27.15837299999839
95,3010, 2019 q2,66957.768814,29.340301999996882
96,3010, 2019 q3,66984.795053,27.026238999998895
97,3010, 2019 q4,67015.949753,31.15469999999914
98,3010, 2020 q1,67045.908617,29.958864000000176
99,3010, 2020 q2,67090.737992,44.829375000001164
100,3020, 2018 q1,67136.515029,45.77703700000711
101,3020, 2018 q2,67172.00677,35.49174100000528
102,3020, 2018 q3,67215.460167,43.45339699999022
103,3020, 2018 q4,67752.724144,537.2639770000096
104,3020, 2019 q1,68338.222919,585.498775
105,3020, 2019 q2,68873.45797,535.235050999996
106,3020, 2019 q3,73231.109526,4357.651555999997
107,3020, 2019 q4,73784.67661,553.5670839999948
108,3020, 2020 q1,78023.497254,4238.820644000007
109,3020, 2020 q2,78070.525301,47.02804699999979
110,3030, 2018 q1,78100.9299,30.404599000001326
111,3030, 2018 q2,78132.13358,31.203679999991436
112,3030, 2018 q3,78162.401757,30.26817700000538
113,3030, 2018 q4,78192.456402,30.054644999996526
114,3030, 2019 q1,78226.413257,33.95685499999672
115,3030, 2019 q2,78257.385496,30.972239000009722
116,3030, 2019 q3,78293.239439,35.853942999994615
117,3030, 2019 q4,78323.768968,30.529529000006733
118,3030, 2020 q1,78359.462819,35.69385099998908
119,3030, 2020 q2,78389.984542,30.52172300001257
120,3510, 2018 q1,82979.359532,4589.374989999997
121,3510, 2018 q2,87681.070771,4701.711238999997
122,3510, 2018 q3,92354.070474,4672.999702999994
